T,x1,v1,x2,v2
0,0,0,0,0
0.2,0.0221722370839146,0.228819976402523,0.00661683193907688,0.101157866729118
0.4,0.0921447709173833,0.460709782043064,0.0532015680032676,0.382461282655726
0.6,0.198041396934265,0.565200307610153,0.159244956428355,0.656372694751248
0.8,0.300502596376988,0.41191649842792,0.297449967669157,0.663651803055024
1,0.343579336450901,-0.0220083048129697,0.397317149434399,0.267462046596961
1.2,0.280195729241305,-0.620236190771612,0.381886155192842,-0.454974612483893
1.4,0.0997363341556629,-1.15775538091078,0.21215411295069,-1.22913863281865
1.6,-0.161758575471661,-1.38841734532799,-0.0888952517339057,-1.70136448568756
1.8,-0.425566349223098,-1.16965495713766,-0.431162882752657,-1.61520451243271
2,-0.60168962314726,-0.526160386249764,-0.695108883742307,-0.926803838835656
2.2,-0.620175992231672,0.34231558703251,-0.773922618533505,0.160687640928241
2.4,-0.46921103137284,1.12034515905957,-0.628671871420113,1.24864413398657
2.6,-0.197412998132177,1.51199369342276,-0.301642311821093,1.9187955910523
2.8,0.0990090941201427,1.35829151676807,0.0924525416961147,1.89625440019689
3,0.312829774982442,0.707819095119283,0.409725247701736,1.16738418426079
3.2,0.366829853854228,-0.189672633094023,0.531588018679673,0.000613758848553574
3.4,0.246117960816679,-0.967667083424776,0.413171581673394,-1.1395423578075
3.6,0.0106403549925142,-1.28453796753835,0.109736769912772,-1.76618278500424
3.8,-0.227066997087067,-0.987334776410888,-0.240956767651169,-1.59707522141684
4,-0.350450384458983,-0.160839011264632,-0.478946220984052,-0.652862781230684
4.2,-0.276320707404286,0.881341898092621,-0.471556880498236,0.727533033338312
4.4,-0.0109385098483348,1.69399808924226,-0.194021832704042,1.9692271022321
4.6,0.360884501824817,1.90092596382174,0.270555812732558,2.52764704034742
4.8,0.698442724895351,1.33952516920025,0.750375884668478,2.0899869519535
5,0.85367307329524,0.140291675913852,1.04276026482471,0.712633047864215
5.2,0.738561734329227,-1.27373961753534,1.00207835065712,-1.13055924344812
5.4,0.364726992960846,-2.36267730431841,0.604206556191974,-2.74363814944734
5.6,-0.154499411328898,-2.67367348733658,-0.0361261023449052,-3.46788439850267
5.8,-0.640359148465833,-2.02934040570372,-0.699223251350945,-2.94945998373798
6,-0.914635903869208,-0.619548524836844,-1.13997878439467,-1.30497567012307
6.2,-0.870819886816909,1.04499045297982,-1.18409984428408,0.886308015751131
6.4,-0.522685378555631,2.3180627921827,-0.804727286600907,2.7845118689609
6.6,-0.00536924685023825,2.67174098736919,-0.141904408266716,3.61346483116903
6.8,0.471822495859094,1.92475695148993,0.542861799860629,2.98803845456402
7,0.707744146939548,0.332418524891709,0.967823034372409,1.08948189765445
7.2,0.591034669784628,-1.48705653109238,0.94299509317004,-1.36947429772183
7.4,0.151069786949855,-2.77614365036945,0.452736442725784,-3.39373895086836
7.6,-0.441185661414645,-2.9251776115719,-0.322604207192724,-4.07331699958831
7.8,-0.934025943936929,-1.79170297281977,-1.06324208043855,-3.03712307482874
